,2013,2014,2015,2016,2017,2018,20191),20201),20211)
Курганская область,"13199,8",14347,"16269,2","16241,4","16662,6","16553,4","17345,5","17922,5","19443,5"
Свердловская область,"22149,8",23195,"25552,4","26062,7","26594,1","27819,8","29510,8",28742,"30846,8"
Тюменская область,"25694,3","27077,2",30345,"31086,7","32302,3",33689,"35392,9","36831,5","38682,4"
в том числе:,,,,,,,,,
Ханты-Мансийский автономный округ - Югра,"29133,9","30052,5","34787,4",35698,"37572,1","38759,3","40746,5","42456,4","44288,9"
Ямало-Ненецкий автономный округ,42008,"45032,3","49469,7","52222,8","55175,8","57143,6","60280,4","64433,2","68460,1"
Тюменская область без автономных округов,"17697,5","19248,6","21075,6","20902,4","21553,9","23112,5","24185,5",24996,"26425,5"
Челябинская область,"16994,7","18022,6","19637,7","19038,2","19310,4","19793,4","20815,1","22190,7","24141,1"
Республика Алтай,"11741,6","13573,3","14571,7","14557,8","14973,5","15482,1","16158,8","17253,9","18795,3"
Республика Тыва,"10654,6","10958,7","12330,4","12213,7","12232,6","12808,8",13655,"15179,5","16054,4"
Республика Хакасия,"13229,2","14289,7","15681,5","16008,4","16437,5","17513,4","18760,1","19967,5","21534,7"
Алтайский край,"12506,7","14361,4","16484,3","16769,4","17415,1","17981,2","18932,4","19167,6","20557,7"
Красноярский край,"17895,8","18402,5","20646,5",21292,"22211,4","23129,1",24536,25617,"27780,2"
Иркутская область,"14324,3",15403,"17279,3","17829,5","18679,8","19550,9","21113,9","22244,3","24196,3"
Кемеровская область,"14913,7","15652,4","17402,7",17233,"17998,8",18774,"20302,4","20988,6","23022,1"
Новосибирская область,"16931,3","18170,1","20059,7","20892,5",21864,"22703,2","24064,4","25046,3","27534,5"
Омская область,"15387,7","17404,1","19081,6","18782,9","19121,8","19817,7","21119,9","21755,1","23728,8"
Томская область,"17578,2","18997,6","21356,2","21106,7","21449,3","21897,5","22824,9","23558,7","25186,9"
Республика Бурятия,"14341,8","15728,8","18191,6","18096,7","18405,7","18939,3","20105,3","21250,2",22500
